,NO,Time,FcName,FcCode,FcLoc,water_use,Cl_Val,Cl_Unit,pH_Val,pH_Unit,tb_Val,tb_Unit
164,916,2022050321,충주정수장,4313012380,충북 충주시 용탄동,생활정수,0.8359,mg/L,7.8416,pH,0.0379,NTU
165,915,2022050321,구천정수장,4831012332,경남 거제시 신협읍,생활정수,0.7817,mg/L,7.1122,pH,0.0504,NTU
166,914,2022050321,시흥정수장,4127312314,경기도 안산시 선부2동,생활정수,0.8470,mg/L,7.6354,pH,0.0608,NTU
167,913,2022050321,송전정수장,4273012356,강원도 횡성군 횡성읍,생활정수,0.5658,mg/L,7.6635,pH,0.0370,NTU
168,912,2022050321,대불정수장,4684012366,전남 무안군 몽타면,공업용수,점검중,mg/L,점검중,pH,0.2798,NTU
169,911,2022050321,군산정수장,4513012365,전북 군산시 내흥동,공업용수,0.0214,mg/L,7.3033,pH,0.9662,NTU
170,910,2022050321,와부정수장,4136012312,경기도 남양주시 와부읍,생활정수,0.8638,mg/L,7.3895,pH,0.0472,NTU
171,909,2022050321,수지정수장,4146512316,경기도 용인시 상현동,생활정수,0.8292,mg/L,7.5562,pH,0.0642,NTU
172,908,2022050321,금산정수장,4471012372,충남 금산군 남일면,생활정수,0.5429,mg/L,7.7409,pH,0.0887,NTU
173,907,2022050321,고산정수장,4571012367,전북 완주군 고산면,생활정수,0.8898,mg/L,7.3587,pH,0.0411,NTU
174,906,2022050321,산성정수장,4518012363,전북 정읍시 옹동면,생활정수,0.9472,mg/L,7.5885,pH,0.0435,NTU
175,905,2022050321,학야정수장,4711312378,포항시 북구 기계면,생활정수,0.7461,mg/L,7.4399,pH,0.0659,NTU
176,904,2022050321,운문정수장,4782012340,경북 청도군 운문면,생활정수,0.7515,mg/L,7.1786,pH,0.0423,NTU
177,903,2022050321,청주정수장,4311112353,충북 청주시 상당구,공업용수,0.0892,mg/L,7.6308,pH,0.3591,NTU
178,902,2022050321,고령정수장,4783012344,경북 고령군 다산면,생활정수,0.7620,mg/L,7.2682,pH,0.0565,NTU
179,901,2022050321,밀양정수장,4827012381,경남 밀양시 산외면,생활정수,0.5289,mg/L,7.0994,pH,0.0445,NTU
180,900,2022050320,청주정수장,4311112353,충북 청주시 상당구,공업용수,0.0936,mg/L,7.6338,pH,0.3615,NTU
181,899,2022050320,고령정수장,4783012344,경북 고령군 다산면,생활정수,0.7573,mg/L,7.2690,pH,0.0570,NTU
182,898,2022050320,구미정수장,4719012337,경북 구미시 고아읍,생활정수,0.7278,mg/L,7.1898,pH,0.0650,NTU
183,897,2022050320,일산정수장,4128112315,경기도 고양시 덕양구,생활정수,0.9386,mg/L,7.5753,pH,0.0587,NTU
184,896,2022050320,충주정수장,4313012380,충북 충주시 용탄동,생활정수,0.8154,mg/L,7.8385,pH,0.0374,NTU
185,895,2022050320,산성정수장,4518012363,전북 정읍시 옹동면,생활정수,0.9422,mg/L,7.5965,pH,0.0431,NTU
186,894,2022050320,부안정수장,4580012360,전북 부안군 변산면,생활정수,0.8605,mg/L,6.8062,pH,0.0304,NTU
